Title,PlotSummary
Ilamai Oonjal,"Some college students from Chennai go on vacation trip to a hill station. On their trip, girls get killed one by one in a thrilling manner. The rest of the story is why they got killed and who is the killer. It is also the mystery of who is responsible for the killings."
The Vow,"Rachel McAdams (Rachel McAdams) and her husband Leo (Channing Tatum) first met at the Art Institute of Chicago. On their way home, at a stop sign, Paige unbuckles her seatbelt to lean over and kiss Leo. At that very moment, a truck rams their car from behind and Paige crashes through the windshield. When Paige regains consciousness, she thinks Leo is her doctor, having lost all memories of the past few years. Her parents insist on taking her home with them and Paige agrees."
Country Town,"A severe drought strikes the town of Bellbird, Australia. The locals rally together and hold a fund-raising gymkhana. Young reporter Philip Henderson arrives and stirs old tensions. The film follows a series of events in Bellbird which end in a blaze of controversy."
Ainthu Ainthu Ainthu,"Aravind (Bharath) had met with a terrible accident seven months ago, that left him physically and emotionally scarred. He claims that during the accident, his girlfriend Liyana (Mrithika) was with him and she died in his arms. No one has seen or even heard of her; she does not appear in the student list in her college or even the census reports. She is not mentioned in the newspaper reports of the accident either and some strangers are occupying her home."
Dawn on the Great Divide,"Rough Riders protect a wagon train and supplies for the railroad against a power hungry businessman who dresses his army of henchmen as Indians. The Rough Riders are the result of a battle between the Rough Riders and a businessman who dresses up as Indians in a costume. The film is set in New York City, New York."
Rock 'n' Roll High School,"The movie is set in 1980. Vince Lombardi High School keeps losing principals to nervous breakdowns because of the students' love of rock 'n' roll and their disregard for education. The students, joined by the Ramones, take over the high school, with Miss Togar asking the musicians ""Do your parents know you're Ramones?"""
Hi Diddle Diddle,"Young Janie Prescott is about to be married to her sailor sweetheart, Sonny Phyffe, but the wedding is delayed because the ship hasn't arrived to its dock. The wedding ceremony has to be pushed forward, and is combined with a christening ceremony that is to be performed by the same pastor. Janie is then called to service as an air raid warden before she has time to go away on her honeymoon."
Ladies Only,"Sabita Devi (Gujarat), Bibbo (Punjab), and Prabha (Bengal) meet at a railway station. With no place to stay they decide to find accommodation together. A young crook (Surendra) enters their life and trouble starts brewing between the girls."
Anna and the Apocalypse,"The zombie apocalypse hits the sleepy town of Little Haven at Christmas. Anna and her high school friends have to fight, sing and dance to survive to survive. The zombie horde is all around them, with the undead horde all around Anna and friends fighting, singing and dancing."
Kaanal Neer,"Suren (Nageswara Rao) hails from a zamindari family. Unable to get permission to pursue his studies, he leaves home and reaches Madras, hiding his identity. His elder daughter Madhavi (Bhanumathi) has become a widow at a young age. Hearing about the goodness of the teacher, she gets drawn to him though she has never met him. Later, due to mischievous relatives, she begins to dislike him and dismisses him."
Yamla Pagla Deewana,"Paramvir Singh (Sunny Deol) is a Non-resident Indian (NRI) living happily with his Canadian wife Mary (Emma Brown Garett) along with his two kids Karam and Veer and his mother (Nafisa Ali) in Vancouver, British Columbia, Canada. Paramvir's mother sends him to Banaras to find his father, and younger brother Gajodhar Singh. Dharam Singh (Dharmendra) had run away from home after the birth of his younger brother, Paramvir."
The Seventh Sin,"In post-World War II Hong Kong, unhappily married Carol (Eleanor Parker) has an affair with a married man, Paul (Jean Pierre Aumont) Her physician husband Walter (Bill Travers) discovers it and presents her with a choice: travel with him to a remote mainland village (where he will fight a cholera epidemic) or face the scandal of a very public divorce. She persuades him to reconsider and he proposes an alternative: If Paul's wife will agree to a divorce and he marries Carol within one week Walter will obtain a quiet divorce. Shortly after, Walter contracts chol"
Bridget Jones: The Edge of Reason,"Bridget (Renée Zellweger) is ecstatic about her relationship with Mark Darcy (Colin Firth) However, Bridget's confidence in her relationship is shattered when she meets Mark's assistant, a beautiful, slim and quick witted Australian named Rebecca Gillies (Jacinda Barrett) Bridget meets her ex, Daniel Cleaver (Hugh Grant), at her job for TV morning show Sit-Up Britain and is offered a position alongside Cleaver in a new travel tv series. Bridget is arrested and sent to a Thai prison after airport security dogs detect a large stash of cocaine inside the gift."
Get Low,"Felix Bush (Robert Duvall) shows up in town with a fat wad of cash, requesting a ""funeral party"" at Reverend Gus Horton's church for himself. Frank Quinn (Bill Murray) agrees to advertise a funeral party at which the townsfolk will be invited to tell Felix Bush the stories they've heard about him. Bush tells those gathered at his funeral party (including Mattie Darrow) what happened forty years earlier. He reveals his affair with Mattie's married sister, Mary Lee, who was his girlfriend in their youth, and her deceased sister."
 Kickin' It Old Skool,"In 1986, 12-year-old Justin ""Rocketshoe"" Schumacher and his breakdancing group, The Funky Fresh Boyz, are ready for the annual talent show. In an effort to impress Jennifer and win the contest, Justin uses a dangerous and untested headspin maneuver, which caused him to flip off the stage and to fall into a coma. Twenty years later, Justin is still in the hospital and in a coma; his parents pull the plug on him. As a result of his two-decade-long coma, Justin now finds himself suddenly 31 years old, going on 32."
Paartha Gnabagam Illayo,"Twin sisters Kasthuri and Lalitha are separated at a very young age. They were raised by Radharavi who had greed for money and a lavish lifestyle. He planned to marry Kasthur to a rich old man even after knowing that she was in love with Anand Babu. Meanwhile, Lalitha is married to her dream man and lives happily with him. Resolving Confusions and reuniting them form the crux of the story."
The Age of Adaline,"Adaline Bowman was born on New Years Day 1908, then later married and gave birth to a daughter, only to become a widow after her husband died in a tragic accident. Years later, in 1937, Adaline crashed her car when she swerved into a ravine during a snowstorm and died in the freezing lake nearby, but a lightning strike suddenly revived her. Ever since, she has changed her identification and address according to the era, while her daughter Flemming ages normally."
Seeta Rama Jananam,"The film traces the Ramayana from the time Dasaratha (T. Venkateswarlu) kills the son of a blind couple, long before Lord Rama (ANR) is born, to the time the wedding of Seeta (Tripurasundari) is performed. The story included roles of Vasishta (Parupalli Sathyanarayana), Kausalya (Rushyendramani), Sumithra (Annapurna) and Kaika."
Poodle Springs,"Linda and Marlowe first met in The Long Goodbye and their romance resumed at the end of Playback. The couple relocate to a grand mansion in Poodle Springs (a mocking reference to Palm Springs) and open a detective agency in the resort. Marlowe's first case comes when he is forced by hoodlums to visit a local criminal named Lipschultz who operates an illegal gambling house in Riverside, just outside the jurisdiction of Poodle Spings."
Chase a Crooked Shadow,Kimberly Prescott (Baxter) is grieving after her father's recent suicide. She is taken aback by the arrival of a man (Todd) claiming to be her brother Ward. Kimberly has trouble convincing her friends and family and the local police inspector that a complete stranger has taken her deceased brother's identity.
Ooty Varai Uravu,"Vijaya (L. Vijayalakshmi) is the daughter of a wealthy zamindar. Vedachalam (T. S. Balaiah) is married to Sundari and has a son, Ravi (Sivaji Ganesan) who is now taking care of the family business. After Sivakami's death, his daughter decides to seek him out and sets out to confront him with proof of his second marriage. She runs away from home after her parents death, her uncle tries to marry her in order to acquire her wealth. She meets Ravi on the train and she"
Speedway Junky,"The film stars Jesse Bradford as Johnny, a young man with dreams of becoming a stock car racer. Daryl Hannah plays Veronica, a former showgirl and prostitute who has served as a surrogate mother figure for Eric since his own mother died. Eric falls deeply in love with Johnny, and is saddened that his love will remain unrequited."
Home Sweet Hell,Don Champagne (Patrick Wilson) runs a successful furniture business. His wife Mona (Katherine Heigl) has everything planned according to the book of her goals. One day an attractive young woman named Dusty (Jordana Brewster) applies for the job as saleswoman at Don’s store. She tells Don that she is pregnant and wants to keep the baby. Don is desperate because of his poor sex life with his wife. Don confesses to Mona and she demands that Don kill Dusty.
 Assault on Wall Street,"In 2008 financial crisis, a portfolio-manager instructs his employees to neglect the best-interest of clients in order to increase company profits. Meanwhile, Jim Baxford (Dominic Purcell), a former soldier and armored car driver, lives with his wife, Rosie, in New York City. Rosie is in the process of recovering from a near-fatal brain tumor. Jim becomes frustrated at the loss of his money and his inability to pay for his wife's treatment and their mortgage."
Annie,"Annie Bennett lives in foster care with several other girls under the care of Colleen Hannigan, a bitter former singer who spends her days drinking or trying to find a husband. Annie is saved by William Stacks, a germaphobe cell phone mogul running for mayor. Annie's rescue goes viral on the internet, boosting Stacks' popularity; Annie moves in with Stacks to boost his popularity further. Annie also gets to adopt the stray dog from before, naming her Sandy."
Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie,"The Gokaigers (sans Gai, who was sent off to buy dinner for them before this incident) confront the legendary Space Sheriff Gavan, who quickly defeats and apprehends them. Retsu Ichijouji delivers his prisoners to Space Police Chief Weeval, who reveals himself as Ashurada, a member of the Zangyack Empire and descendant of Don Horror. In the midst of the battle, the salute given by Retsu triggers a flashback in Captain Marvelous' mind. Back on Earth, Basco and Sally make their way toward the unguarded Gokai Galleon to steal the"
Her Minor Thing,"Newscaster boyfriend accidentally reveals Jeana is still a virgin despite being in her mid 20s. The revelation of her virginity has made her a target for every oversexed man in the immediate area. In the end, she finds a man, a photographer, who is decent enough to be the man to whom she finally loses her virginity."
Pudsey: The Movie,"Pudsey uses his ability to walk on his hind legs and knock people over to save the day. He starts as a dog in a movie set, but he ends up fired after causing havoc. He runs away in disgrace and catches a bus, and catches several school kids on there. When the bus stops, he runs down the street and knocks the bullies over. The bullied kids take him home with them and take him to a lady who looks after dogs. But the lady turns out to be evil after she says she is going to dye him pink."
Sky Devils,"Lifeguards Wilkie (Spencer Tracy) and Mitchell (George Cooper) who can not even swim, are trying to keep out of the war. The two friends swear they will never join the Army but relent and later, wind up in uniform, shovelling manure. Determined to find a way out, Wilkie and Mitchell desert and head off to South America. After stowing away on a ship, they find out they are on a troop ship with Army Air Corps pilots going to France."
Head Over Heels,"Charles Richardson is a civil servant in his early 30s, working in Salt Lake City, Utah. He meets Laura Conley in the filing department of his office and it is love at first sight. Soon, she moves in with him and seems happy, but starts having second thoughts. Laura leaves Charles and goes back to her husband, Ox, a log home salesman."
Zenda,"The movie is based on actual life of party workers who have aligned their loyalty towards a particular political party based on its apex leader. It highlights the glorious past of party and strong organisation fighting for Marathi community in Maharashtra, India. The movie also touches on the part where political images have been built completely based on media and PR exercises."
High Fidelity,"Rob Gordon is a self-confessed music loving everyman with a poor understanding of women. He is dumped by his latest girlfriend, Laura, and attempts to understand what is the failure in his relationships by seeking out old partners. By day, he holds court at his record store, Championship Vinyl, where customers drift through. His helping hands are Dick and Barry, the ""musical moron twins"""
The Man Who Finally Died,"Joe Newman returns to his small hometown in Bavaria, after living in England since the outbreak of World War II. He finds out that his father is dead, but that he escaped from behind the Iron Curtain and went to live with a certain Dr. von Brecht, and that he later married a woman named Lisa. Joe begins to suspect that this is a cover-up and that the people want to keep certain facts regarding his father a secret."
Alvin and the Chipmunks,"The Chipmunks meet struggling songwriter and composer, David Seville, who has had his latest song rejected by JETT Records chief executive, Ian Hawke. After a misunderstanding with Dave, they go to Ian in an attempt to obtain a record deal. They are enchanted with Ian at first, but once they set off on a nationwide coast-to-coast tour, he takes advantage of their naïvete, changing their image and working them constantly. Dave decides to take matters himself by infiltrating their concert to reunite with them."
Tale of Zatoichi Continues !The Tale of Zatoichi Continues,"One year after the first film, Zatōichi travels back to the town near the Joshoji Temple, to pay respects at the grave of Hirate, the samurai he killed. Zatoichi defeats the first three attackers, and retires to a restaurant. Later the lord's men hire local yakuza (gangsters) to finish the job. Yoshiro arrives and says he wants to kill his younger brother in revenge for crippling him. He tells Sukegoro that two men have died for him in his petty crime, and he too must die."
1971,"The story takes place in Pakistan in 1977, six years after the 1971 Bangladesh Liberation War. It takes place based on the role of Indian army who came forward to help in the freedom of Bangladesh from Pakistan on the orders of then Indian Prime Minister Indira Gandhi. The title of the movie alludes to the year when this War between Bangladesh and Pakistan took place."
Sneh Bandhan,"Snehlata lives with her postmaster father and is in love with Gopal who is poor but well-educated. When Gopal comes to visit Sneha, Pratap in a jealous rage kills him. Sneha takes the blame and is jailed for ten years. In jail, Sneha gives birth to a son who she gives up for adoption to the jail's matron, Sushila, with the promise that it should not be revealed to him who his real parents are."
Aap Ke Saath,"Ashok and Vimal are two grandsons of K.K. Vimal, who is a womanizer. Ashok pays some money to Ganga and hopes never to see her again. Vimal frequently visits a courtesan, Ashok finds that the courtesan is none other than Ganga."
The Fugitive,"A nameless and conflicted Catholic priest is a fugitive in an unnamed Latin American country where religion is outlawed. Another fugitive, a murderous bandit dubbed ""El Gringo"", comes to town and conspire to help the priest escape. The priest is captured and sentenced to death, but forgives the informant for betraying him."
Cutthroat Island,"In 1668 Jamaica, Morgan Adams hunts down her uncle and fellow pirate Dawg Brown, who has captured her father, Black Harry. Black Harry has one of three pieces of a map to a huge stash of gold on the remote Cutthroat Island. After scalping her dead father for the piece, Morgan sets out for the treasure. The instructions appear to be in Latin, which no one on board reads."
Above and Beyond,"Col. Paul W. Tibbets, Jr. (Robert Taylor) is assigned to a dangerous mission in testing a new bomber, the Boeing B-29 Superfortress. The perilous assignment has caused his wife Lucy (Eleanor Parker) to worry for his life and whether their marriage can survive the constant separations."
Jallikattu Kaalai,"Gopalakrishnan (Prabhu) works in a mill owned by Sundara Gounder (Malaysia Vasudevan) Radha (Kanaka) returns to the village after her studies and falls in love with her love. Knowing of his daughter's love, Sundara arranges her marriage to Radha with a fraud. Her fiancé agrees to leave Radha for one night with Loose Goundser. Loose is a vicious man who has raped and killed women. Radha misunderstands a conversation between Gopalakhrishnan and a woman who lies that she had a sexual"
711 Ocean Drive,"Mal Granger (Edmond O'Brien) is a telephone repairman who likes to bet on the horses. He takes control of the wire service, making him a target for the Los Angeles Police. East Coast mobster Larry Mason (Don Porter) is sent by boss Carl Stephans (Otto Kruger) to persuade Granger to join the Syndicate."
The Idol,"A rebellious student embarks on an affair with the mother of his best friend, leading to disastrous consequences. The film is based on the story of a rebellious student who is obsessed with his friend's mother. The story is set in New York City, New York, and is set to be released in October."
Napoleon,"In Sydney, a puppy named Muffin is living with a human family and his own mother. He wishes to be with the wild dogs that he can hear howling in the distance. Napoleon flies high above the city and heads out to the sea. A galah named Birdo drops down on the side of his basket and offers to help him get down. Napoleon panics due to a fear of water, but Birdo's idea of help is to pop the balloons suspending the basket."
Kadhal Virus,"Deepak is a budding filmmaker trying to get his first production out. He meets and falls in love with Geetha, and decides to take his relationship with her further once his first film is made. Misunderstandings lead to their separation and her eventual marriage to Rajiv, a struggling actor."
The Law of Men,"Laura Dayne (Bennett), an ambitious young sculptress courted by neighboring artist Denis Connors (Welch), has limited contact with the social world and knows little of the ""law of men"" and so unsuspicious when decadent architect Jamison Keene lures her to the Tarrytown Inn. Keene had recently had the artist paint a miniature of Mildred Wade (Matthews), the foolish wife of Laura's dear friend Benton Wade (Robson)"
"Cry, the Beloved Country","Stephen Kumalo (Canada Lee) journeys to Johannesburg to search for his missing son, Absolom, only to find his people living in squalor. Reverend Misimangu (Sidney Poitier) helps find Kumalo's sons and sister-turned-prostitute in the slums of Johannesburg."
Spider,"Dennis Cleg has just been released from a mental institution and in his new abode starts piecing together or recreating in his memory an apparently fateful childhood event. A shift takes place in the child's psyche when he witnesses his mother groping with his father in the garden and, subsequently, when he sees his mother in a silky night gown she wore for his father."
Just Married,"Working-class Tom Leezak and upper-class Sarah McNerney meet up when Tom accidentally hits Sarah with a football. A few months later, despite opposition from Sarah's rich family, they get married. They have kept a secret from each other: Tom doesn't tell Sarah that he accidentally killed her dog and she reveals she slept with Peter Prentiss."
Sherlock Holmes in Washington,"British secret agent Alfred Pettibone is murdered on his way to deliver a secret document in the USA. Holmes deduces Pettibon converted the document to microfilm before his death. Before his death, the microfilm, hidden inside a ""V for Victory"" matchbook, was in the unwitting hands of Washington debutante and bride-to-be Nancy Partridge. The matchbook gets passed from hand to hand at a party unknowingly and end up in the inadvertent possession of chief spy Heinrich Hinkel."
Do Badan,"Vikas (Manoj Kumar) comes from a poor family, and is attending college so that he can complete his studies, get a job, and look after himself and his dad. He meets wealthy Asha (Asha Parekh) at this college, and after a few misunderstandings, both fall in love. Vikas' dad passes away during the exams, and Asha arranges an accident for Vikas. Asha's dad wants her to get married to Ashwini (Pran), and he soon announces their engagement. He finds out that Asha is in love with Vikas, and arr"
Adventures in Babysitting,"Chris Parker babysits the Andersons' daughter, 8-year-old Sara, while they attend a party in downtown Chicago. Brad Anderson is supposed to go to his friend Daryl Coopersmith's house to spend the night, but he changes his mind when he finds that Chris is the babysitter. Brad and Sara are car-jacked by a thief named Joe Gipp, who is chided by Graydon, the operation's second-in-command, for bringing witnesses. They are detained in an upstairs office but escape; they enter a blues club where the band on stage won't let them leave until they"
 13 Moons,"The film opens with a clown (Buscemi) whose wife (Beals) and stripper girlfriend (Parsons) just discovered each other's existence. On the way to the hospital, they are accosted by a crazed drug addict named Slovo (Stormare) who is hit by a car soon after. The five meet up with an angry record producer (Mitchell) and the girlfriend he believes to be pregnant (Rollins)"
Jiao Yulu,"In late 1962, Jiao Yulu was appointed the second party boss of Lankao County in Henan province. He was soon promoted to party boss because of his excellent work. On May 14, 1964, he died at the age of forty-two from liver cancer."
The Wind That Shakes the Barley,"Dr. Damien O'Donovan is about to leave his native village to practise medicine in a London hospital. Meanwhile, his brother Teddy commands the local flying column of the Irish Republican Army. After the Anglo-Irish Treaty is signed, the brigade learns that a partitioned Ireland will only be granted Dominion status within the British Empire."
Breakfast with Scot,"Eric McNally (Tom Cavanagh) is a gay retired hockey player turned television sportscaster. He lives with his partner Sam (Ben Shenkman), a sports lawyer. Sam unexpectedly becomes the legal guardian of his brother's stepson, Scot. Their lives are turned upside down as the demands of being a parent begin to intrude."
 The Scarecrow,"The film opens with an elderly witch, who reveals herself to be a kindly witch, telling the audience about the town of Grisham Heights. She explains the town's workhouse mill, where orphans and debtors are sent to work off their debts, and that it takes thirteen pieces of silver to buy your freedom. The witch then introduces the audience to Polly, a girl who has been in the mill nearly her whole life, but has been saving her silver coins and hiding them at the foot of her scarecrow. As the years pass, Scarecrow begins to fall in love with Polly after her constant visits. Meanwhile,"
Manners of Dying,"Kevin Barlow (Roy Dupuis) will die on schedule and according to regulations. Harry Parlington (Serge Houde), director of the Cantos execution facility, intends to make sure of it. However Barlow chooses to go, be it calmly or fighting to the end, Parlington feels confident that he and his team can deal with the situation."
Young and Innocent,"Robert Tisdall (Derrick De Marney) is the only suspect in the murder of Christine Clay (Pamela Carme), a successful actress, at a retreat on the English coast. Christine Clay was strangled with the belt from a raincoat; his raincoat is missing and he says it was recently stolen. The authorities assume the two have been having an affair, but the authorities think they have hit upon motive and Tisdal is arrested. He escapes with the aid of Erica Burgoyne, daughter of the local police Chief Constable, who is taken in by the police."
Maa,"Ram Khanna is a wealthy industrialist with a trusting soul. Unknown to him, his elder brother Murli Manohar and his sister-in-law Maya are after his money. Murli and Maya hire a goon named Gullu Goli to kill Mamta and trap her. Mamta takes control of Ram's life to thwart the duo."
The Delicious Little Devil,Mary McGuire (Mae Murray) is a working-class young girl who lives in a New York tenement. Murray in a thinly disguised portrayal obviously mimicking fellow real life dancer/star Gaby Deslys. The Duke de Sauterne (Bertram Grassby) has arrived in New York from Europe.
Shall We Dance?,"John Clark is a lawyer with a charming wife, Beverly, and a loving family. Each evening on his commute home through Chicago, John sees a beautiful woman staring with a lost expression through the window of a dance studio. As his lessons continue, John falls in love with ballroom dancing. His friendship with Paulina blossoms as his enthusiasm rekindles her own lost passion for dance."
Arthur Christmas,"On Christmas Eve, hundreds of Christmas elves helm the command centre of Santa Claus's mile-wide[6] ultra-high-tech sleigh-esque craft, the S-1. The current Santa named Malcolm and the Christmas elves deliver presents to every child in the world using advanced equipment and military precision. Meanwhile, his younger son - the clumsy, fearful yet enthusiastic yet enthusiastic Arthur - devotedly answers the letters to Santa. During one of the delivery operations in Germany a child wakes up and almost sees Malcolm due to an accidentally activated toy; in the tense escape operation, a present to fall from the supply line."
The Woman's Angle,"Story of three love affairs of man who belongs to celebrated family of musicians, culminating in divorce and his final discovery of happiness.[2] Story of divorce and love affair culminates into divorce and discovery of new happiness. Story of love affair ends in divorce, ending in divorce."
Cool...Sakkath Hot Maga,"Ganesh plays a college going student in the film. The film has been shot in some picturesque locations such as Egypt, Dubai and Jordan and Middle East. It has supposedly a comedy and romance mixed storyline. Ganesh played a college student in film which is based in Egypt and Dubai."
Tom at the Farm (Tom à la ferme),"Tom, a young advertising editor, visits Guillaume's rural community to deliver a eulogy at the funeral of his boyfriend. He is surprised when Agathe Longchamp tells him Guillasume has a brother, Francis. Francis tells Agathe they named a calf Bitch Ass, in Tom's honour. Tom decides not to speak, and Francis confronts Tom in a bathroom stall about the mishap. Agathe becomes overwhelmed with questions about Sarah's apparent lack of grief."
The Gang's All Here,"Frankie O'Malley (Darro) and Jefferson Smith (Moreland) apply for work at the Overland Transport Company, a firm run by Pop Wallace (Homans) The boys are unaware that a trucking war is in progress and that Wallace's trucks are being wrecked and his men killed. Meanwhile, George Lee (Luke) an undercover agent for the insurance company that is covering Overland's claims, has learned that Pop Wallace is working with Ray Saunders (Mitchell)"
The Brothers Rico,"Eddie Rico is the happily married owner of a prosperous laundry company in Bayshore, Florida. He has given up his ties to the syndicate and hopes to adopt a child with his wife, Alice. His two brothers, Johnny (James Darren) and Gino (Paul Picerni) have disappeared."
Flame of Youth,"Jerry Briggs, nicknamed Jerry, is arrested for stealing hubcaps off cars. She goes to gangster Cicero Coletti to get her cut of the stolen loot, quarreling with Coletti's sister, Lila. She ignores sister Catherine's pleas to get out of petty crime and concentrate on becoming a fashion model."
That's My Mommy,"A mother duck is sleeping on her nest of eggs, but one of the egg suddenly rolls from the nest and begins to hatch. The duckling, Quacker, slips under a sleeping Tom outside and hatches underneath him, causing Quacker to assume Tom as his mother. Tom decides to inherit his mistaken role to keep a hold of the duckling and try to eat him. Jerry rescues Quacker by placing Tom's tail on the rotisserie."
Golden Hoofs,"Jane Drake is devastated when her dad Dr. Tim Drake's farm is sold to Dean MacArdle, who also intends to abandon the longtime tradition of harness racing. Dean is kind enough to sell Jane her favorite trotter, Yankee Doodle, for just $5. She persuades Dean to enter Doodle's old stablemate, Yankee Clipper, in the upcoming ""Hiatoga Stakes"""
Paradise,"David and Sarah travel with a caravan from Baghdad to Damascus in 1823. At an oasis, a white slaver known as 'the Jackal' raids the party and attempts to add the beautiful young Sarah to his harem. The Jackal does not give up hope of capturing Sarah, so David must lure him to his death."
Donga,"Phani (Chiranjeevi) commits thefts just to help the poor. He wants revenge against Kodandaramayya (Rao Gopala Rao) for killing his father. He also wants his sister Malathi (Rajyalakshmi) to get married to Rajesh (Raja), son of Anjaneyulu."
The Vampire's Ghost,"Roy Hendrick (Charles Gordon) returns to the village of Bakunda after a short absence to find that there has been a series of strange murders where each victim was bitten the neck and drained of blood. The local Natives are certain it is the work of a vampire, but Roy, his girlfriend Julie Vance (Peggy Stewart) and her father Thomas Vance (Emmett Vogen) do not believe in such superstitious nonsense."
Uncle Silas,"Caroline Ruthyn is the niece of her elderly uncle Silas, who becomes her guardian on the death of her father. The fact that Silas is broke and greedy is reason enough for Caroline to be wary. Her fears increase when she meets Silas's perverted son and when she discovers that her fearsome former governess, Madame de la Rougierre, is working with her uncle."
The Bone Collector,Tetraplegic forensics expert Lincoln Rhyme and patrol cop Amelia Donaghy team up to solve a string of murders connected to a serial killer by his signature: a single shard of bone removed from each of the victims. The killer poses as a New York City taxi driver and abducts and kills those who get in his taxi. The detectives find Mrs. Rubin at a steam junction in a below-ground services area of a building in the Financial District.
Curry and Pepper,"Police detectives Curry and Pepper are two CID detectives that do not take their jobs seriously. When newspaper reporter Joey Law decides to film a documentary about daily police life, she chooses to film them. Eventually, the two reconcile and work together to take down a vicious hit man named Abalone."
Dil Ne Jise Apna Kahaa,"Dil Ne Jise Apna Kahaa begins with Rishabh (Salman Khan) and Pari (Preity Zinta) who are deeply in love. Pari has a dream to create a hospital for children. Her last wish was to donate her heart to her patient Dhani (Bhoomika Chawla) Dhani is cured, much to the joy of her family and her grandmother."
Waris,"The story revolves around a young prince with socialist ideas who runs away from the palace. Twenty years later, after news of the death of the king, three pretenders arrive, each claiming to be the real prince. Meanwhile, the original prince sees the news and reveals his identity to her mother, with whom he is living by his false identity as an orphan."
Brahma,"In 1600 BC a warrior named Brahma (Upendra) is very kind to poor. He gives all his wealth to the poor. But in 1950, their family becomes very poor. Then Veer Brahma says that he will take all the wealth his grandfather gave to others. Then Bramha is taken to court and he is sentenced to 2 years in jail. After two years, he is now the chief minister of Karnataka. The Lady came to kill Brahma but she did not succeed in killing him."
The Avenging Conscience,"A young man falls in love with a beautiful woman, but is prevented by his uncle from pursuing her. Tormented by visions of death and suffering, the young man kills his uncle and builds a wall to hide the body. The young man becomes sensitive to slight noises, like the tapping of a shoe or the crying of a bird, and the ghost of his uncle begins appearing to him."
The Secret of Madame Blanche,"Sally Sanders is an American showgirl visiting London in 1898 when she marries Leonard St. John. Leonard is unable to provide a living for his new bride and himself, and eventually goes home to his father asking for help. St. Johns suggests that his son divorce his wife and keep her as a mistress, while marrying within his own class. Leonard agrees to take his son back but only if he writes to Sally ending the marriage. Leonard, seeing no alternative, agrees to send him a suicide note and shoots himself."
Chalk,The film takes the course of an entire school year and describes three teachers and one assistant principal. Mr. Lowrey is an introverted first-time history teacher struggling to find passion for his new profession. Coach Webb (played by Janelle Schremmer) is a female gym teacher who is struggling to get her students to take her class seriously.
Hammer the Toff,"Richard Rollison (Bentley) is sharing a carriage with an attractive young lady called Susan Lancaster (Dainton) The journey is interrupted when the window of the carriage is shattered by a barrage of bullets. Richard learns from the shaken Susan that she is on her way to join an uncle on holiday, and offers to escort her safely to her hotel. Later, Rollison happens to overhear a pair of shady characters discussing how to kidnap Susan."
She Couldn't Say No,"Corby Lane (Jean Simmons) visits the American hamlet of Progress, Arkansas, whose residents had paid for a critical medical operation for her when she was a child. She decides to express her gratitude by giving them money anonymously. The headstrong woman clashes with the local doctor, Robert Sellers (Robert Mitchum), who foresees the resulting chaos."
"Grandview, U.S.A.","Tim Pearson, a soon-to-be graduate of Grandview High School, wants to go to Florida to study oceanography. Mechanic Michelle ""Mike"" Cody comes to Tim's defense, and has Ernie ""Slam"" Webster, a local demolition derby driver, tow the car, taking Tim along. The next morning, Tim goes to see his father at his office and hints to him that he does not want Tim to drive his car again. Slam gets home and sees his wife Candy with another man, Donny. Donny accidentally shoots himself in the foot in the ensuing struggle."
The Green Cockatoo,An innocent young girl travels to London from her home in Devon and gets mixed up with unsavoury characters. The film is based on the story of an innocent girl travelling to London to meet a group of unsavourable characters. It is set in London and is set to be shown in cinemas in London cinemas on BBC2's The London Eye.
Kamen Rider Kabuto: GOD SPEED LOVE,"In 1999, an enormous meteor crashed onto Earth and caused a global calamity that depleted the planet's waters. The meteor carried extraterrestrial creatures known as the Worms who proceeded to kill humans and assume their identities. ZECT has obtained intelligence about a large comet orbiting the vicinity of space. By building the Jacob's Ladder space station, they plan to capture this comet and spread its water throughout Earth. By present time, power struggles in ZECT have caused Hidenori Oda to establish a splinter group called Neo-ZECT with Daisuke Kazama and Shura Hokuto to fight against ZECT's"
Love Khichdi,"Vir is a bachelor from a small town working as a sous-chef in a five-star hotel in Mumbai, India. He flirts with, yearns for and lusts after any woman who is friendly, but seems unattainable. Vir is suckered by them all - with his ego, confusion and commitment."
Guilty by Suspicion,"De Niro returns from abroad to find that McCarthyism has led to his not being allowed to work in films. He will only be allowed to direct once he implicates colleagues as Communist agents. He must decide whether to turn informant, or to stick to principle at the cost of his life's work."
Anjani Putra,"Viraj aka Raj aka Raj (Puneeth) is a moneylender and also the heir to the Raj Group, a cloth manufacturing conglomerate. He was disowned by his mother and uncle of his joint family Anjana Devi (Ramya Krishnan) due to some misunderstanding. He meets a rich girl Geetha (Rashmika Mandanna) at a mall, who soon falls in love with him for his good nature. Raj saves the Additional Superintendent of Police Surya Prakash(P. Ravi Shankar) and his wife from a group of thugs who work for Bhairava"
Margot at the Wedding,Margot (Nicole Kidman) is a successful but self-absorbed writer; it is suggested that she has borderline personality disorder. She brings her 11-year-old son Claude (Zane Pais) to spend a weekend visiting her free-spirited sister Pauline (Jennifer Jason Leigh) Margot disapproves of Pauline's choice of fiancé: Malcolm is an unsuccessful musician whom Margot considers unattractive.
